entidad,delitos,cecccd1,cecccd2,cecccd3,cecccd4,cecccd5,cecccd6,cecccd7,cecccd8,cecccd9,cecccd10,cecccd11,cecccd12,cecccd13,cecccd14,cecccd15,cecccd16,cecccd17,cecccd18,cecccd19,cecccd20,cecccd21,cecccd22,cecccd23,cecccd24,cecccd25,cecccd26,cecccd27,cecccd28,cecccd29,cecccd30,cecccd31,cecccd32,cecccd33,cecccd34,cecccd35,cecccd36,cecccd37,cecccd38,cecccd39,cecccd40,cecccd41,cecccd42,cecccd43,cecccd44,cecccd45,cecccd46,cecccd47,cecccd48,cecccd49,cecccd50,cecccd51,cecccd52,cecccd53,cecccd54,cecccd55,cecccd56,cecccd57,cecccd58
"25",40108,"0","NSS","0","NSS","","","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","","","0","NSS","0","0","","","0","NSS","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","",""
"25",40109,"0","NSS","0","NSS","","","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","","","0","NSS","0","0","","","0","NSS","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","",""
"25",40110,"0","NSS","0","NSS","","","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","","","0","NSS","0","0","","","0","NSS","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","",""
"25",40111,"0","NSS","0","NSS","","","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","","","0","NSS","0","0","","","0","NSS","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","",""
"25",40112,"0","NSS","0","NSS","","","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","","","0","NSS","0","0","","","0","NSS","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","",""
"25",40113,"0","NSS","0","NSS","","","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","","","0","NSS","0","0","","","0","NSS","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","",""
"25",40114,"0","0","0","1","","","0","NSS","0","NSS","","1","0","NSS","0","NSS","0","NSS","","1","0","1","0","0","","","0","1","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","1","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","1"
"25",40115,"0","NSS","0","NSS","","","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","","","0","NSS","0","0","","","0","NSS","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","",""
"25",40116,"0","NSS","0","NSS","","","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","","","0","NSS","0","0","","","0","NSS","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","",""
"25",40119,"0","NSS","0","NSS","","","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","","","0","NSS","0","0","","","0","NSS","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","",""
"25",40199,"","7","","38","","","","","","","","45","","","","","","","","45","","45","","","","","","45","","","","","","","","","","","","","","","","45","","","","","","","","","","","","","","45"
